날짜,홈팀,원정팀,홈선발,원정선발,홈점수,원정점수,승리팀
2024-03-23,LG,한화,엔스,류현진,8,2,LG
2024-03-23,SSG,롯데,김광현,윌커슨,5,3,SSG
2024-03-23,NC,두산,이용찬,정철원,4,3,NC
2024-03-23,KT,삼성,박영현,오승환,2,6,삼성
2024-03-23,KIA,키움,크로우,후라도,7,5,KIA
2024-03-24,LG,한화,임찬규,페냐,4,8,한화
2024-03-24,SSG,롯데,문승원,김원중,7,6,SSG
2024-03-24,NC,두산,신민혁,브랜든,3,6,두산
2024-03-24,KT,삼성,엄상백,레예스,8,11,삼성
2024-03-26,SSG,한화,더거,김민우,0,6,한화
2024-03-26,KIA,롯데,전상현,구승민,2,1,KIA
2024-03-26,KT,두산,우규민,이병헌,5,8,두산
2024-03-26,LG,삼성,유영찬,오승환,4,3,LG
2024-03-26,NC,키움,카스타노,헤이수스,10,5,NC
2024-03-27,SSG,한화,박종훈,산체스,1,3,한화
2024-03-27,KIA,롯데,네일,나균안,8,2,KIA
2024-03-27,KT,두산,고영표,최원준,8,11,두산
2024-03-27,LG,삼성,,,2,2,삼성
2024-03-27,NC,키움,이준호,김선기,6,2,NC
2024-03-28,SSG,한화,오원석,문동주,6,10,한화
2024-03-28,KT,두산,박영현,박치국,8,7,KT
2024-03-28,LG,삼성,손주영,이승민,18,1,LG
2024-03-29,두산,KIA,알칸타라,임기영,2,4,KIA
2024-03-29,한화,KT,주현상,이상동,3,2,한화
2024-03-29,키움,LG,후라도,엔스,0,3,LG
2024-03-29,롯데,NC,윌커슨,이준호,3,1,롯데
2024-03-29,삼성,SSG,코너,김광현,4,6,SSG
2024-03-30,한화,KT,페냐,엄상백,8,5,한화
2024-03-30,두산,KIA,브랜든,크로우,8,0,두산
2024-03-30,키움,LG,하영민,임찬규,8,3,키움
2024-03-30,롯데,NC,박세웅,신민혁,0,8,NC
2024-03-30,삼성,SSG,레예스,엘리아스,6,9,SSG
2024-03-31,두산,KIA,곽빈,윤영철,3,9,KIA
2024-03-31,한화,KT,황준서,벤자민,14,3,한화
2024-03-31,키움,LG,헤이수스,켈리,8,4,키움
2024-03-31,롯데,NC,최준용,이준호,7,8,NC
2024-03-31,삼성,SSG,오승환,이로운,3,4,SSG
2024-04-02,KT,KIA,고영표,양현종,10,6,KT
2024-04-02,한화,롯데,한승혁,전미르,0,1,롯데
2024-04-02,LG,NC,김진성,하트,5,7,NC
2024-04-02,SSG,두산,이건욱,최원준,13,6,SSG
2024-04-02,삼성,키움,원태인,김선기,3,8,키움
2024-04-03,KT,KIA,엄상백,네일,1,5,KIA
2024-04-03,LG,NC,이지강,이재학,5,0,LG
2024-04-03,SSG,두산,고효준,박신지,5,3,SSG
2024-04-04,KT,KIA,쿠에바스,이의리,3,6,KIA
2024-04-04,한화,롯데,주현상,구승민,6,5,한화
2024-04-04,LG,NC,김유영,이준호,8,7,LG
2024-04-04,SSG,두산,문승원,박치국,3,2,SSG
2024-04-04,삼성,키움,코너,후라도,1,10,키움
2024-04-05,키움,한화,하영민,류현진,11,7,키움
2024-04-05,LG,KT,최동환,박영현,7,8,KT
2024-04-05,롯데,두산,박진,브랜든,3,4,두산
