이름,ERA,최근5경기ERA,WHIP
에르난데스,5.68,5.68,0.89
치리노스,2.28,3.10,0.98
손주영,4.20,6.23 ,1.23
임찬규,1.99,2.61 ,1.07
코엔 윈,5.73,5.73,1.09
최채흥,3.38,3.38,1.50
송승기,2.96,3.63,1.14
폰세,1.68,0.26,0.92
류현진,2.58,2.78,1.09
문동주,3.32,2.46,1.01
와이스,3.36,1.90,1.07
엄상백,6.68,6.79,1.82
데이비슨,2.01,2.30,1.14
박세웅,2.25,1.48,1.11
나균안,4.63,4.97,1.66
박진,5.16,6.58,1.59
이민석,5.73,5.73,1.45
김진욱,8.69,8.69,1.83
후라도,2.47,2.60,1.13
원태인,2.81,3.76,1.02
최원태,4.43,4.59,1.52
레예스,4.71,5.03,1.19
이승현,6.16,6.55,1.73
앤더슨,2.32,1.25,0.97
화이트,2.54,2.54,0.95
문승원,3.38,4.80,1.08
김광현,4.07,5.82,1.40
송영진,6.39,7.08,1.87
박종훈,7.11,7.11,1.74
라일리,3.55,2.22,1.16
로건,3.78,4.28,1.41
신민혁,5.02,6.28,1.35
최성영,5.59,3.50,1.45
목지훈,5.66,5.66,1.65
김녹원,9.00,9.00,2.00
잭로그,3.29,1.28,1.12
박정수,3.97,3.32,1.59
콜어빈,4.06,5.82,1.22
최원준,4.15,4.14,1.34
최승용,4.30,4.50,1.35
최준호,8.62,8.10,1.72
김유성,9.00,9.00,1.85
네일,2.18,3.83,1.06
김도현,2.74,3.60,1.22
올러,3.00,2.40,0.89
황동하,5.52,6.11,1.36
양현종,5.79,6.39,1.62
윤영철,11.17,11.17,3.21
헤이수스,2.14,3.23,1.24
오원석,2.40,1.22,1.13
소형준,2.83,3.70,1.13
고영표,3.54,4.61,1.41
쿠에바스,5.23,7.00,1.47
로젠버그,3.95,3.30,1.28
정현우,4.80,4.80,2.13
하영민,5.26,4.47,1.57
김선기,6.58,9.38,2.12
김윤하,7.13,6.11,1.92
조영건,7.48,8.24,1.81
김연주,7.98,7.93,1.98
박주성,8.00,8.25,1.78
